rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
0.8995725392,2006,T,OPIATE,6420258,59,0.1177957319,0.6836349161,1.1671210334
1.8128066201,2006,F,OXYCODONE,3217341,62,0.2320401425,1.3867661923,2.3370123184
1.9138163188,2006,M,OXYCODONE,3202917,65,0.2390009666,1.4742596677,2.4636024341
1.8712839273,2006,T,OXYCODONE,6420258,127,0.1672322694,1.5578912059,2.2344621983
1.2861394641,2007,F,ACETAMINOPHEN,3268945,43,0.1978988933,0.9278586717,1.7439624199
1.176119191,2007,M,ACETAMINOPHEN,3256141,38,0.1925822754,0.8293575138,1.6354226315
1.2237232861,2007,T,ACETAMINOPHEN,6525086,81,0.1371306636,0.9697890895,1.5286580035
1.6896558194,2007,F,ALCOHOL,3268945,58,0.2243076035,1.2788663369,2.1979956996
4.1434429876,2007,M,ALCOHOL,3256141,139,0.3540486656,3.4786031088,4.9139922456
2.9269637025,2007,T,ALCOHOL,6525086,197,0.2103252756,2.5292297883,3.3742918174
0.5964358243,2007,F,ALPRAZOLAM,3268945,20,0.1348058963,0.3621435338,0.9331756012
1.0073802546,2007,M,ALPRAZOLAM,3256141,34,0.1736437833,0.6962148229,1.429158401
0.8057521416,2007,T,ALPRAZOLAM,6525086,54,0.1104751433,0.6039076496,1.0588279738
0.7655192144,2007,F,AMITRIPTYLINE,3268945,27,0.1490859824,0.501705213,1.1282764677
0.7293804507,2007,M,AMITRIPTYLINE,3256141,25,0.1463867556,0.471218781,1.0991346548
0.7482988398,2007,T,AMITRIPTYLINE,6525086,52,0.1045411259,0.5575650306,0.9894378718
1.3208908652,2007,F,CITALOPRAM,3268945,45,0.199746215,0.9587393984,1.7820699692
0.8527185502,2007,M,CITALOPRAM,3256141,28,0.1618670566,0.5654867796,1.2528219644
1.0891761974,2007,T,CITALOPRAM,6525086,73,0.1287464706,0.8515459411,1.37770199
1.4992987502,2007,F,COCAINE,3268945,51,0.2118828747,1.1130608158,1.9837209814
3.4836550167,2007,M,COCAINE,3256141,118,0.3228359263,2.8797032844,4.193196405
2.5020928713,2007,T,COCAINE,6525086,169,0.1939500285,2.1363913465,2.9173857689
0.7316422238,2007,F,DIAZEPAM,3268945,25,0.1478217445,0.4711494206,1.0926843815
0.6817239213,2007,M,DIAZEPAM,3256141,23,0.1431303146,0.4306398244,1.0459300909
0.7094932438,2007,T,DIAZEPAM,6525086,48,0.1032733283,0.5216720179,0.9485621503
1.2526408538,2007,F,DIPHENHYDRAMINE,3268945,41,0.1977126912,0.8954775653,1.7107606712
1.0818058555,2007,M,DIPHENHYDRAMINE,3256141,35,0.1840245868,0.7516221548,1.5245520215
1.1687280974,2007,T,DIPHENHYDRAMINE,6525086,76,0.1351579899,0.918923374,1.4700671202
0.3574926848,2007,F,HEROIN,3268945,12,0.1042199668,0.1833179539,0.6365345441
1.9094313379,2007,M,HEROIN,3256141,64,0.2399941992,1.4682390876,2.4586854004
1.1436795571,2007,T,HEROIN,6525086,76,0.1320594905,0.8995786899,1.4386614653
1.3936348502,2007,F,HYDROCODONE,3268945,44,0.2119935113,1.0094668705,1.880286836
